G GS MPG FG% 3p% FT% OFF DEF RPG APG SPG BPG TO PF PPG Class
281 64 24.8 0.451 0.376 0.806 0.5 2.1 2.5 2.5 0.8 0.3 1.2 2.2 9.8 1
634 515 33.0 0.417 0.378 0.811 0.4 2.8 3.2 5.4 1.2 0.3 2.0 3.0 12.5 1
220 198 31.2 0.440 0.377 0.798 0.8 2.5 3.3 5.0 1.4 0.3 2.3 2.2 11.9 1
52 0 10.3 0.372 0.263 0.810 0.3 1.0 1.3 1.3 0.5 0.1 1.0 0.9 4.8 1
615 615 37.7 0.461 0.331 0.737 1.1 4.8 5.8 4.9 1.8 0.5 2.4 2.1 15.3 1
51 51 30.5 0.469 0.399 0.872 0.9 2.9 3.7 5.4 1.1 0.4 3.1 2.2 18.5 1
437 109 12.5 0.404 0.347 0.713 0.3 0.8 1.1 1.1 0.5 0.1 0.5 1.6 3.4 1
532 249 27.6 0.447 0.350 0.853 0.3 2.4 2.7 4.2 0.8 0.1 1.9 1.9 10.8 1
45 0 11.1 0.321 0.210 0.862 0.3 0.9 1.2 1.6 0.6 0.0 0.8 0.7 3.1 1
794 670 33.0 0.416 0.337 0.800 0.8 3.2 4.0 3.2 1.3 0.4 2.6 2.4 15.9 1
539 263 24.9 0.420 0.379 0.803 0.4 1.9 2.3 3.6 0.8 0.1 1.6 2.0 10.4 1
51 28 17.5 0.447 0.150 0.872 0.2 1.2 1.3 3.3 0.6 0.1 1.2 1.7 5.8 1
211 209 34.0 0.393 0.345 0.811 0.7 2.9 3.5 5.4 1.4 0.3 2.3 2.1 16.8 1
47 0 8.5 0.458 0.400 0.679 0.3 0.8 1.0 1.2 0.2 0.0 0.9 0.9 3.3 1
831 761 36.7 0.444 0.368 0.797 1.0 3.2 4.2 4.4 1.0 0.2 2.2 1.9 17.8 1
144 127 24.6 0.398 0.341 0.698 0.5 2.4 2.9 1.4 0.6 0.7 1.1 1.9 7.7 1
511 138 16.8 0.447 0.354 0.748 0.4 1.4 1.9 0.9 0.5 0.3 0.9 2.1 6.0 1
51 1 7.7 0.364 0.083 0.796 0.3 1.1 1.4 1.2 0.3 0.2 0.8 0.7 2.5 1
498 83 18.3 0.401 0.402 0.855 0.4 1.8 2.2 0.6 0.4 0.4 0.4 1.5 6.0 1
29 1 9.1 0.314 0.200 0.647 0.2 0.7 0.9 1.2 0.2 0.1 0.4 0.6 2.0 1
2 0 29.0 0.417 0.500 0.000 0.5 3.0 3.5 1.5 1.0 0.0 1.5 3.5 6.0 1
1315 1302 36.6 0.401 0.349 0.784 1.3 5.1 6.4 9.0 2.0 0.3 3.0 1.9 13.0 1
389 62 20.1 0.441 0.337 0.759 1.0 2.7 3.6 0.8 0.4 0.2 1.0 2.2 8.8 1
66 60 32.2 0.415 0.380 0.759 0.5 2.7 3.2 3.8 0.7 0.2 2.6 2.3 12.8 1
664 110 24.2 0.431 0.413 0.877 0.3 2.5 2.8 1.6 0.7 0.3 1.0 2.2 9.5 1
206 100 26.9 0.499 0.388 0.785 0.8 1.9 2.7 4.8 1.0 0.1 1.8 1.5 12.0 1
287 135 27.2 0.439 0.386 0.832 0.5 2.2 2.8 1.4 1.0 0.3 1.0 1.7 10.0 1
19 0 12.8 0.390 0.200 0.824 0.5 0.9 1.4 1.6 0.4 0.2 0.9 1.2 3.3 1
64 39 24.0 0.493 0.376 0.773 1.6 3.5 5.1 1.1 1.3 0.4 0.7 1.4 7.9 1
10 0 4.5 0.357 0.000 0.444 0.6 0.3 0.9 0.5 0.2 0.2 0.2 0.4 1.4 1
17 0 6.8 0.480 0.000 0.474 0.4 0.5 0.9 0.3 0.4 0.0 0.6 0.4 1.9 1
64 25 19.1 0.437 0.313 0.793 0.5 1.7 2.2 4.0 1.4 0.3 2.2 1.7 9.2 1
324 106 22.6 0.460 0.231 0.778 0.6 1.9 2.6 3.5 0.7 0.4 1.6 2.0 6.8 1
359 139 26.9 0.420 0.330 0.783 0.8 2.6 3.5 4.8 1.1 0.2 1.8 2.4 10.4 1
111 2 11.0 0.398 0.344 0.811 0.3 0.8 1.1 1.4 0.4 0.0 0.6 0.8 5.0 1
64 0 12.2 0.400 0.286 0.712 0.2 1.3 1.4 2.0 0.4 0.0 0.8 0.8 3.6 1
475 387 31.3 0.443 0.377 0.865 0.6 2.8 3.5 2.1 0.9 0.1 1.8 2.0 18.4 1
230 170 30.5 0.445 0.393 0.844 0.7 2.3 2.9 1.7 1.1 0.2 1.3 2.2 12.9 1
172 2 15.1 0.408 0.353 0.733 0.3 1.2 1.5 3.1 0.5 0.1 1.0 1.3 4.5 1
301 181 32.8 0.433 0.375 0.817 0.6 2.7 3.3 2.7 1.1 0.3 2.1 2.1 15.2 1
200 114 22.1 0.411 0.371 0.884 0.2 1.9 2.2 0.9 0.6 0.1 0.6 1.2 8.1 1
389 159 19.3 0.419 0.329 0.787 0.5 1.7 2.2 1.3 0.7 0.3 0.9 2.3 8.4 1
1044 922 33.9 0.458 0.205 0.807 1.2 2.9 4.0 7.2 1.3 0.2 2.6 2.4 14.1 1
90 3 12.0 0.432 0.378 0.797 0.3 0.6 0.9 1.7 0.4 0.0 1.0 0.9 6.0 1
38 0 8.7 0.381 0.378 1.000 0.1 0.8 0.9 0.9 0.3 0.1 0.6 0.9 2.9 1
19 0 8.9 0.429 0.444 0.667 0.1 0.7 0.8 1.1 0.1 0.0 1.0 0.8 2.4 1
256 119 27.4 0.451 0.426 0.897 0.8 2.1 3.0 1.2 0.6 0.2 1.0 2.0 12.1 1
1152 993 31.4 0.491 0.428 0.904 0.5 2.5 3.0 8.6 0.8 0.1 2.9 1.6 14.5 1
136 8 21.3 0.445 0.419 0.798 0.2 2.1 2.3 1.6 0.4 0.0 1.0 1.6 9.9 1
527 432 28.2 0.456 0.388 0.808 0.5 2.5 3.0 5.0 0.9 0.1 2.2 2.6 12.4 1
429 18 15.4 0.390 0.354 0.866 0.2 1.3 1.5 2.0 0.5 0.1 1.1 1.4 6.5 1
44 5 9.6 0.333 0.263 0.593 0.3 0.6 0.8 1.3 0.3 0.0 1.0 1.0 2.9 1
494 423 27.8 0.444 0.404 0.794 0.5 2.7 3.2 2.3 0.9 0.2 1.0 1.6 9.1 1
806 793 32.9 0.492 0.310 0.738 0.4 2.6 3.0 5.9 1.0 0.1 2.5 1.8 16.8 1
485 485 37.0 0.472 0.361 0.854 0.7 3.7 4.5 9.8 2.4 0.1 2.4 2.5 18.8 1
528 141 15.8 0.406 0.349 0.679 0.3 1.4 1.8 0.9 0.5 0.2 0.8 1.8 5.1 1
